clean_text,sentiment
amazon kindle fire has a lot of free app and can be used by any one that wants to get online anywhere,20
the echo show is a great addition to the amazon family works just like the echo but with a screen bright vibrant display rich clear sound works great with arlo security cameras excellent smart home addition just hope google and amazon start playing nice with each other soon so youtube will work again,20
great value from best buy bought at christmas sale,20
i use mine for email facebook games and to go on line i also have down loaded books i use it to take photos it is small and be taken easily i would recommend it to anyone,20
this is a fantastic item the person i bought it for loves it,20
this is a great devise for reading books or taking photos best buy associate was very helpful,20
i have enjoyed learning about home automation using echo plus and consumers need to know that this comes with having to buy additional equipment to get the most out of alexa,20
nice size very clear but randomly shuts off cant remove unwanted apps from the home screen if you watch video it buffers alot and laggs,20
awesome product and cool design and a great color i would recommend to a friend,20
love my mine works great with prime and i have all my best movies,20
our daughter loves her new tablet it has a bigger screen more features and she just enjoys being on it the kindle is priced right and is easy to use she was able to get her apps transferred to her new tablet in no time great investment,20
this a great tablet for everyone plenty of memory for downloading great features all around,20
as good as echo with added visuals can be usefuland fun,20
so my old kindle stopped working recently not sure why but it would not connect to our new router so i checked with best buy and saw they had kindle on sale for which is a great deal for a color kindle tablet i especially like that i can setup the reading mode which dims the tablet and removes the blue led light so far i have read books in the past months on this kindle and it flawless,20
my year old love to watch movies and this is perfect for him,20
we replaced and aging fire hdx she noticed the wifi connection is improved and the screen is larger she prefers this to my ipad air,20
i love the cameras and the video capabilities i have set up the picture albums and can even share on facebook and messenger i like the side charger much better than front i love the size too,20
needed a new kindle wasn t sure what one to choose this one is great,20
i have really enjoyed my new echo plus i enjoy music every morning with the news,20
this tablet is on the smaller side but works for me,20
i bought this for my wife and absolutely loves it alexa is so smart and helps my wife with everything like a personal assistant,20
needs to be a stand alone device i should have not required to use a tablet of cell phone to make it work amazon needs to work on the technology on device,20
this is the only one you need it s like having the dot echo and ihome all in one with a screen,20
this is a great tablet for the price i have one that i purchased a few years ago and use it much more than my laptop recently purchased two more for gifts,20
enjoy my summer reading and a regular tablet just will not do initially disappointed by the small size but i quickly learned to appreciate it very portable and convenient i wanted something easy on the eyes with a g connection so i did not have to be connected to wifi to download books was a bit more then i wanted to pay but feel i will get good use out of it,20
i decided to buy this instead of a traditional kindle and i do not regret my decision at all the only con for those evaluating this as a tablet is that amazon has their own app store many apps from googleplay appstore are simply not available,20
i am using it for my year old and she loves it,20
great speaker and echo substitute this is great for on the go as a bluetooth speaker and when connected to the internet it works great using the alexa app,20
i bought this for my mom and she loves it she said it is really easy to use and loves the lighting it s easy for her to read,20
a bargain for the price especially for the coverage of the warranty a gift for my year old granddaughter things can happen to it she absolutely loves it and pretty easy to use,20
so far so good i enjoy being able to communicate with friends and family using the drop in feature,20
bought for year old grandaughter she loves it and now she won t need to steal moms tablet or phone,20
we the concept to learn and adapt to the ever changing word this product should stand out,20
no problems so far i m enjoying it suggestion it should come with some outputs plugs to connect it to bigger speakers sound system,20
i love my kindle it s perfect for reading my favorite books,20
got this as a gift for my boyfriend he loves that it is very convenient and easy to use,20
easy to use love the color and my daughter loves it easy to set up very happy with my purchase,20
this readeri is compact and fits nicely in my bag easy to use controls for children are very effective am glad i bought it,20
got it as a gift for my dad so far so good didn t not realise the special offers are ads spend more money to buy the one with out them also hate the fact they removed the wwan connection you now need wifi to connect to the store,20
i purchased this kindle fire hd was purchased for use by and yer old grandchildren they basically use it to play amazon games that you download,20
i bought the kindle oasis for my wife as a th anniversary gift she enjoys reading and i thought that being able to adjust the text size would be very nice she tried it for a few days and didn t care for it she writes notes in the margins and wasn t happy with the way the kindle did its notes for just reading i think it would be a very nice product,20
we bought one of these for our year old a few months ago and we liked it so much we bought one as a christmas present for a year old parent it obviously isn t the highest quality tablet on the market but it very responsive and gets the job done and you can t beat the price just a great value,20
easy to set up we really enjoy getting real time local weather it translates spanish very efficiently we also enjoy the music we can easily select but would appreciate a higher quality sound linking the echo to lighting is a snap highly recommended,20
this tablet is great i loved the color and all the features it has i will be buying more for my daughters great purchase,20
i m new to tablets but this one is pretty easy to understand and use there s a decent amounts of apps at start up which can be good and bad,20
she is alexa better younger sister love her and some of the new skills great,20
i ve enjoyed using my fire hd tablet to play games,20
very easy to use and navigate my and year old grandsons can use them with ease some apps are limited as you do not have google play but there is plenty of games and learning games available,20
i bought my step mom an updated kindle she reads the new kindle more than her old one,20
